,2020,2019,2018,2017,2016,2015,2010,2005,2000,1995,1990,1985,1980,1975,1970,1965,1960,1955
Bolivia,"11,673,021","11,513,100","11,353,142","11,192,855","11,031,814","10,869,730","10,048,590","9,232,306","8,418,264","7,622,338","6,864,842","6,179,460","5,579,935","5,001,419","4,484,004","4,038,872","3,656,955","3,331,036"
Belgium,"11,589,623","11,539,328","11,482,178","11,419,748","11,354,420","11,287,940","10,938,739","10,546,886","10,282,033","10,186,305","10,006,544","9,916,578","9,868,995","9,771,586","9,632,180","9,443,939","9,167,365","8,887,274"
Haiti,"11,402,528","11,263,077","11,123,178","10,982,366","10,839,970","10,695,542","9,949,322","9,195,288","8,463,806","7,744,503","7,037,917","6,337,273","5,643,173","5,094,577","4,676,230","4,258,732","3,866,159","3,514,074"
Cuba,"11,326,616","11,333,483","11,338,134","11,339,254","11,335,104","11,324,781","11,225,832","11,261,582","11,126,430","10,888,252","10,596,987","10,097,911","9,849,459","9,446,442","8,712,541","7,958,169","7,141,250","6,539,454"
South Sudan,"11,193,725","11,062,113","10,975,927","10,910,763","10,832,518","10,715,658","9,508,364","7,535,932","6,199,394","5,118,083","5,492,623","5,220,747","4,502,604","3,941,618","3,494,004","3,133,150","2,842,724","2,619,712"
Dominican Republic,"10,847,910","10,738,958","10,627,141","10,513,104","10,397,741","10,281,680","9,695,121","9,097,257","8,471,321","7,819,247","7,133,494","6,464,229","5,803,927","5,144,637","4,499,720","3,877,765","3,294,224","2,781,336"
Czech Republic (Czechia),"10,708,981","10,689,209","10,665,677","10,641,034","10,618,857","10,601,397","10,536,518","10,258,167","10,289,373","10,358,193","10,340,875","10,331,143","10,349,083","10,069,955","9,817,669","9,811,377","9,590,174","9,361,772"
Greece,"10,423,054","10,473,455","10,522,246","10,569,450","10,615,185","10,659,750","10,887,637","11,224,791","11,082,104","10,745,503","10,225,992","9,968,238","9,627,002","9,014,085","8,663,571","8,453,821","8,273,629","8,011,124"
Jordan,"10,203,134","10,101,694","9,965,318","9,785,843","9,554,286","9,266,575","7,261,539","5,765,635","5,122,493","4,588,843","3,565,890","2,900,049","2,377,995","2,065,913","1,721,323","1,173,606","933,102","682,968"
Portugal,"10,196,709","10,226,187","10,256,193","10,288,527","10,325,538","10,368,351","10,596,058","10,508,495","10,297,112","10,091,325","9,895,364","9,929,184","9,750,964","9,172,241","8,651,340","8,862,280","8,844,645","8,625,532"
Azerbaijan,"10,139,177","10,047,718","9,949,537","9,845,320","9,736,043","9,622,745","9,032,461","8,538,605","8,122,741","7,775,424","7,242,761","6,666,447","6,150,733","5,674,133","5,180,023","4,592,609","3,895,397","3,329,387"
Sweden,"10,099,265","10,036,379","9,971,638","9,904,896","9,836,007","9,764,950","9,390,168","9,038,623","8,881,640","8,836,420","8,567,384","8,357,652","8,316,338","8,197,340","8,054,916","7,745,673","7,482,543","7,262,623"
